"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice burger","dissenting",FALSE,"Pfizer Inc. v. Government of India",1978-02-27,"434 U.S. 308",1978,"1977-024",FALSE
"justice powell","second_dissenting",FALSE,"Pfizer Inc. v. Government of India",1978-02-27,"434 U.S. 308",1978,"1977-024",FALSE
"justice kennedy","majority",FALSE,"Ragsdale v. Wolverine World Wide, Inc.",2002-03-19,"535 U.S. 81",2002,"2001-030",FALSE
"justice o'connor","dissenting",FALSE,"Ragsdale v. Wolverine World Wide, Inc.",2002-03-19,"535 U.S. 81",2002,"2001-030",FALSE
"justice ginsburg","majority",FALSE,"Regions Hospital v. Shalala",1998-02-24,"522 U.S. 448",1998,"1997-028",FALSE
"justice scalia","dissenting",FALSE,"Regions Hospital v. Shalala",1998-02-24,"522 U.S. 448",1998,"1997-028",FALSE
"justice stewart","majority",FALSE,"Albemarle Paper Co. v. Moody",1975-06-25,"422 U.S. 405",1975,"1974-138",FALSE
"justice marshall","concurring",FALSE,"Albemarle Paper Co. v. Moody",1975-06-25,"422 U.S. 405",1975,"1974-138",FALSE
"justice rehnquist","majority",FALSE,"Touche Ross & Co. v. Redington",1979-06-18,"442 U.S. 560",1979,"1978-128",FALSE
"justice brennan","concurring",FALSE,"Touche Ross & Co. v. Redington",1979-06-18,"442 U.S. 560",1979,"1978-128",FALSE
"justice marshall","dissenting",FALSE,"Touche Ross & Co. v. Redington",1979-06-18,"442 U.S. 560",1979,"1978-128",FALSE
"justice sotomayor","majority",FALSE,"Highmark Inc. v. Allcare Health Management System, Inc.",2014-04-29,"134 S. Ct. 1744",2014,"2013-041",FALSE
"justice rehnquist","majority",FALSE,"Schneble v. Florida",1972-03-21,"405 U.S. 427",1972,"1971-078",FALSE
"justice marshall","dissenting",FALSE,"Schneble v. Florida",1972-03-21,"405 U.S. 427",1972,"1971-078",FALSE
"justice burger","majority",FALSE,"United States v. Young",1985-02-20,"470 U.S. 1",1985,"1984-030",FALSE
"justice stevens","dissenting",FALSE,"United States v. Young",1985-02-20,"470 U.S. 1",1985,"1984-030",FALSE
"justice douglas","majority",FALSE,"S&E Contractors, Inc. v. United States",1972-04-24,"406 U.S. 1",1972,"1971-093",FALSE
"justice blackmun","concurring",FALSE,"S&E Contractors, Inc. v. United States",1972-04-24,"406 U.S. 1",1972,"1971-093",FALSE
"justice brennan","dissenting",FALSE,"S&E Contractors, Inc. v. United States",1972-04-24,"406 U.S. 1",1972,"1971-093",FALSE
"justice rehnquist","majority",FALSE,"United States v. Security Industrial Bank",1982-11-30,"459 U.S. 70",1982,"1982-007",FALSE
"justice blackmun","concurring",FALSE,"United States v. Security Industrial Bank",1982-11-30,"459 U.S. 70",1982,"1982-007",FALSE
"justice stevens","majority",FALSE,"Boca Grande Club, Inc. v. Florida Power & Light Co.",1994-04-20,"511 U.S. 222",1994,"1993-038",FALSE
"justice marshall","majority",FALSE,"Bradley v. United States",1973-03-05,"410 U.S. 605",1973,"1972-070",FALSE
"justice douglas","dissenting",FALSE,"Bradley v. United States",1973-03-05,"410 U.S. 605",1973,"1972-070",FALSE
"justice rehnquist","majority",FALSE,"Vermont Yankee Nuclear Power Corp. v. Natural Resources Defense Council, Inc.",1978-04-03,"435 U.S. 519",1978,"1977-063",FALSE
"justice ginsburg","majority",FALSE,"Bank One Chicago, NA v. Midwest Bank & Trust Co.",1996-01-17,"516 U.S. 264",1996,"1995-019",FALSE
"justice stevens","concurring",FALSE,"Bank One Chicago, NA v. Midwest Bank & Trust Co.",1996-01-17,"516 U.S. 264",1996,"1995-019",FALSE
"justice thomas","majority",FALSE,"United States v. Atlantic Research Corp.",2007-06-11,"551 U.S. 128",2007,"2006-056",FALSE
"justice marshall","majority",FALSE,"Abate v. Mundt",1971-06-07,"403 U.S. 182",1971,"1970-126",FALSE
"justice brennan","dissenting",FALSE,"Abate v. Mundt",1971-06-07,"403 U.S. 182",1971,"1970-126",FALSE
"justice blackmun","majority",FALSE,"Bifulco v. United States",1980-06-16,"447 U.S. 381",1980,"1979-120",FALSE
"justice burger","concurring",FALSE,"Bifulco v. United States",1980-06-16,"447 U.S. 381",1980,"1979-120",FALSE
"justice stevens","dissenting",FALSE,"Bifulco v. United States",1980-06-16,"447 U.S. 381",1980,"1979-120",FALSE
"justice marshall","majority",FALSE,"Kelley v. Southern Pacific Co.",1974-12-23,"419 U.S. 318",1974,"1974-017",FALSE
"justice stewart","concurring",FALSE,"Kelley v. Southern Pacific Co.",1974-12-23,"419 U.S. 318",1974,"1974-017",FALSE
"justice douglas","dissenting",FALSE,"Kelley v. Southern Pacific Co.",1974-12-23,"419 U.S. 318",1974,"1974-017",FALSE
"justice blackmun","second_dissenting",FALSE,"Kelley v. Southern Pacific Co.",1974-12-23,"419 U.S. 318",1974,"1974-017",FALSE
"justice kennedy","majority",FALSE,"Fischer v. United States",2000-05-15,"529 U.S. 667",2000,"1999-058",FALSE
"justice thomas","dissenting",FALSE,"Fischer v. United States",2000-05-15,"529 U.S. 667",2000,"1999-058",FALSE
"justice blackmun","majority",FALSE,"Alaska Airlines, Inc. v. Brock",1987-03-25,"480 U.S. 678",1987,"1986-060",FALSE
"justice stevens","majority",FALSE,"Schweiker v. Hogan",1982-06-21,"457 U.S. 569",1982,"1981-133",FALSE
"justice o'connor","majority",FALSE,"New York v. United States",1992-06-19,"505 U.S. 144",1992,"1991-099",FALSE
"justice kennedy","majority",FALSE,"Dellmuth v. Muth",1989-06-15,"491 U.S. 223",1989,"1988-116",FALSE
"justice scalia","concurring",FALSE,"Dellmuth v. Muth",1989-06-15,"491 U.S. 223",1989,"1988-116",FALSE
"justice brennan","dissenting",FALSE,"Dellmuth v. Muth",1989-06-15,"491 U.S. 223",1989,"1988-116",FALSE
"justice blackmun","second_dissenting",FALSE,"Dellmuth v. Muth",1989-06-15,"491 U.S. 223",1989,"1988-116",FALSE
"justice rehnquist","majority",FALSE,"Mt. Healthy City Bd. of Ed. v. Doyle",1977-01-11,"429 U.S. 274",1977,"1976-029",FALSE
"justice white","majority",FALSE,"FPC v. Texaco Inc.",1974-06-10,"417 U.S. 380",1974,"1973-133",FALSE
